Post_ID,Posting_Author,Congress_Number,State_District,State,District,1 if Democrat,DW-NOMINATE,LES,Job_Function,Title_Parsed,Office_Type,Committee_Affiliation,Spanish_Language,Salary_Min,Salary_Max,Years_Experience,Posting_Text,Year
MEM-377-13,"The Committee on Education and the Workforce, Democratic Staff",118,ST-00,,0.0,1,,,Communications,Press Intern,Personal,Democratic Staff,0,,,,mem37713 committee education workforce democratic staff currently seeking undergraduate graduate press intern spring 2014 intern perform variety tasks support staffs media work may include helping draft materials manage committee press list organize staff committee press conferences provide communications support committee hearings markups assisting production daily news clips relating committee issues intern also perform administrative duties answering phones sorting distributing mail applicants able start january commit aprilmay interested applicants email cover letter resume two short relevant writing samples jobs_ewdemsmailhousegov please visit website httpdemocratsedworkforcehousegovaboutinternships information,2024
MEM-103-14,Committee on House Administration,118,ST-00,,0.0,0,,,Legislative,Intern,Personal,House of Representatives Committee on House Administration,0,,,,mem10314 republican office committee house administration seeks energetic selfmotivated undergraduate graduate level students well recent graduates interest government public policy apply spring 2014 internships working closely committee staff interns opportunity gain firsthand knowledge innerworkings congressional committee learn daytoday administrative operations house representatives interns responsible assisting committee staff official proceedings hearingsmarkups oversight research projects well providing general front office support unlike house internships paid internship apply please send cover letter resume charepinternmailhousegov please limit resume one page,2023
MEM-377-13,"The Committee on Education and the Workforce, Democratic Staff",118,ST-00,,0.0,1,,,Communications,Press Intern,Personal,Democratic Staff,0,,,,mem37713 committee education workforce democratic staff currently seeking undergraduate graduate press intern spring 2014 intern perform variety tasks support staffs media work may include helping draft materials manage committee press list organize staff committee press conferences provide communications support committee hearings markups assisting production daily news clips relating committee issues intern also perform administrative duties answering phones sorting distributing mail applicants able start january commit aprilmay interested applicants email cover letter resume two short relevant writing samples jobs_ewdemsmailhousegov please visit website httpdemocratsedworkforcehousegovaboutinternships information,2024
MEM-108-14,Committee on Ethics,118,ST-00,,0.0,0,,,Legislative,Staff Assistant,Personal,,0,,,,mem10814 job summary requirements committee ethics opening staff assistant duties include answering telephones assisting committee investigations production process assisting tracking processing committee correspondence providing administrative support setting committee meetings entering data navigating databases accuracy applicants must excellent organizational skills professional telephone manner good computer skills proficiency microsoft word excel ability work cooperatively courteously others ability use good judgment responding inquiries requests flexibility assisting daily tasks projects applicant instructions please email cover letter resume staff assistant subject line ethicsjobsmailhousegov phone calls please,2024
MEM-107-14,House Committee Democrats,118,ST-00,,0.0,0,,,Legislative,Labor Policy Counsel (Pensions),Personal,House Committee Democrats,0,,,3,mem10714 labor policy counsel pensions house committee democrats jurisdiction private sector employment issues seek highly motivated counsel advisor handle pension retirement policy matters including legislative oversight work related defined benefit pension plans 401ks erisa pension benefit guaranty corporation pbgc employee benefits security administration ebsa core work focused retirement issues position may cover additional areas within labor policy determined candidates must familiarity erisa employment labor law generally least three years experience working areas candidates must excellent research writing skills candidates must thrive fastmoving environment teamoriented creative strategic positive cando attitude experience working capitol hill plus position provides opportunity work highly engaged energetic members congress policy staff strong commitment strengthening workers rights working families retirement security equal opportunity employer salary commensurate experience send cover letter resume edlaborpressmailhousegov,2023
MEM-116-14,Democratic office of the Committee on House Administration,118,ST-00,,0.0,1,,,Legislative,Internship,Personal,CHA Dem,0,,,,mem11614 democratic office committee house administration seeks energetic selfmotivated undergraduate graduate level students well recent graduates interest government public policy apply spring 2014 internship working closely committee staff interns opportunity gain firsthand knowledge innerworkings congressional committee learn daytoday administrative operations house representatives interns responsible assisting committee staff official proceedings hearingsmarkups elections oversight member services projects well providing general front office support please note paid internship interested applicants send cover letter resume available hours aislansimsmailhousegov subject headline cha dem internship,2024
MEM-103-14,Committee on House Administration,118,ST-00,,0.0,0,,,Legislative,Intern,Personal,House of Representatives Committee on House Administration,0,,,,mem10314 republican office committee house administration seeks energetic selfmotivated undergraduate graduate level students well recent graduates interest government public policy apply spring 2014 internships working closely committee staff interns opportunity gain firsthand knowledge innerworkings congressional committee learn daytoday administrative operations house representatives interns responsible assisting committee staff official proceedings hearingsmarkups oversight research projects well providing general front office support unlike house internships paid internship apply please send cover letter resume charepinternmailhousegov please limit resume one page,2024
MEM-108-14,Committee on Ethics,118,ST-00,,0.0,0,,,Legislative,Staff Assistant,Personal,,0,,,,mem10814 job summary requirements committee ethics opening staff assistant duties include answering telephones assisting committee investigations production process assisting tracking processing committee correspondence providing administrative support setting committee meetings entering data navigating databases accuracy applicants must excellent organizational skills professional telephone manner good computer skills proficiency microsoft word excel ability work cooperatively courteously others ability use good judgment responding inquiries requests flexibility assisting daily tasks projects applicant instructions please email cover letter resume staff assistant subject line ethicsjobsmailhousegov phone calls please 3,2023
MEM-107-14,House Committee Democrats,118,ST-00,,0.0,0,,,Legislative,Labor Policy Counsel (Pensions),Personal,House Committee Democrats,0,,,3,mem10714 labor policy counsel pensions house committee democrats jurisdiction private sector employment issues seek highly motivated counsel advisor handle pension retirement policy matters including legislative oversight work related defined benefit pension plans 401ks erisa pension benefit guaranty corporation pbgc employee benefits security administration ebsa core work focused retirement issues position may cover additional areas within labor policy determined candidates must familiarity erisa employment labor law generally least three years experience working areas candidates must excellent research writing skills candidates must thrive fastmoving environment teamoriented creative strategic positive cando attitude experience working capitol hill plus position provides opportunity work highly engaged energetic members congress policy staff strong commitment strengthening workers rights working families retirement security equal opportunity employer salary commensurate experience send cover letter resume edlaborpressmailhousegov,2024
MEM-116-14,Democratic office of the Committee on House Administration,118,ST-00,,0.0,1,,,Legislative,Internship,Personal,CHA Dem,0,,,,mem11614 democratic office committee house administration seeks energetic selfmotivated undergraduate graduate level students well recent graduates interest government public policy apply spring 2014 internship working closely committee staff interns opportunity gain firsthand knowledge innerworkings congressional committee learn daytoday administrative operations house representatives interns responsible assisting committee staff official proceedings hearingsmarkups elections oversight member services projects well providing general front office support please note paid internship interested applicants send cover letter resume available hours aislansimsmailhousegov subject headline cha dem internship,2023
