Post_ID,Posting_Author,Congress_Number,State_District,DW-NOMINATE,LES,Job_Function,Title_Parsed,Office_Type,Committee_Affiliation,Spanish_Language,Salary_Min,Salary_Max,Years_Experience
MEM-101-14,Congressman Steven Horsford (NV-4),118,ST-04,-0.322,0.257,Legislative,Internship Assistant,Personal,,0,,,
MEM-377-13,"The Committee on Education and the Workforce, Democratic Staff",118,ST-13,,,Communications,Press Intern,Personal,Democratic Staff,0,,,
MEM-372-13,The Congressional Black Caucus,118,ST-13,,,Legislative,Internship Position,Personal,,0,,,
MEM-371-13,Congressman Derek Kilmer,118,ST-06,-0.316,0.522,Legislative,Intern,Personal,,0,,,
MEM-369-13,The Congressional Black Caucus,118,ST-13,,,Communications,Intern,Personal,,0,,,
MEM-368-13,Congressman Mario Diaz-Balart (FL-25),118,ST-25,0.281,1.114,Legislative,Intern,Personal,,0,,,
MEM-367-13,Congressman Ami Bera,118,ST-13,-0.245,0.238,Communications,Communications Intern,Personal,,0,,,
MEM-365-13,"Congressman Dave Loebsack, IA-02-D",118,ST-02,,,Legislative,,Personal,,0,,,
MEM-100-14,Staff Assistant,118,ST-14,,,Legislative,Staff Assistant,Personal,,0,,,
MEM-378-13,Moderate Texas Democrat,118,ST-13,,,Legislative,Legislative Assistant,Personal,,0,,,
MEM-376-13,Dem member,118,ST-13,,,Communications,Press secretary,Personal,,0,,,
MEM-375-13,Congressman Aaron Schock (IL-18),118,ST-18,0.311,0.236,Communications,Communications Director,Personal,,0,,,
MEM-374-13,Freshman Democratic Member,118,ST-13,,,Legislative,Legislative Assistant,Personal,House Financial Services Committee,0,,,
MEM-373-13,Ohio Republican House Member,118,ST-13,,,Legislative,press assistant,Personal,,0,,,
MEM-370-13,Senior Republican,118,ST-13,,,Communications,Press Secretary,Personal,,0,,,
MEM-111-14,Congressman Reid Ribble,118,ST-14,0.603,0.137,Legislative,Intern,Personal,,0,,,
MEM-110-14,Congressman Jerry McNerney (CA-09),118,ST-09,-0.263,0.757,Legislative,Internship Position,Personal,,0,,,
MEM-105-14,Congresswoman Betty McCollum,118,ST-04,-0.419,0.061,Legislative,Intern,Personal,,0,,,
MEM-103-14,Committee on House Administration,118,ST-14,,,Legislative,Intern,Personal,null,0,,,
MEM-102-14,House Democratic Leadership Office,118,ST-02,,,Legislative,Intern,Personal,,0,,,
MEM-101-14,Congressman Steven Horsford (NV-4),118,ST-04,-0.322,0.257,Legislative,Internship Assistant,Personal,,0,,,
MEM-377-13,"The Committee on Education and the Workforce, Democratic Staff",118,ST-13,,,Communications,Press Intern,Personal,Democratic Staff,0,,,
MEM-372-13,The Congressional Black Caucus,118,ST-13,,,Legislative,Internship Position,Personal,,0,,,
MEM-316-13,Congresswoman Maxine Waters (CA-43),118,ST-43,-0.656,1.286,Communications,Press and Social Media Intern,Personal,,0,,,
MEM-109-14,Congressman Steven Horsford,118,ST-04,-0.322,0.257,Legislative,Community Liaison/Caseworker,Personal,,0,,,
MEM-108-14,Committee on Ethics,118,ST-14,,,Legislative,Staff Assistant,Personal,null,0,,,
MEM-107-14,House Committee Democrats,118,ST-07,,,Legislative,Labor Policy Counsel (Pensions),Personal,House Committee Democrats,0,,,3
MEM-106-14,Southern conservative Democrat,118,ST-14,,,Communications,Communications Director,Personal,,0,,,
MEM-104-14,Congressman Xavier Becerra,118,ST-14,-0.512,0.055,Legislative,Staff Assistant,Personal,,1,,,
MEM-100-14,Staff Assistant,118,ST-14,,,Legislative,Staff Assistant,Personal,,0,,,
MEM-376-13,Dem member,118,ST-13,,,Communications,Press secretary,Personal,,0,,,
MEM-375-13,Congressman Aaron Schock (IL-18),118,ST-18,0.311,0.236,Communications,Communications Director,Personal,,0,,,
MEM-374-13,Freshman Democratic Member,118,ST-13,,,Legislative,Legislative Assistant,Personal,House Financial Services Committee,0,,,
MEM-373-13,Ohio Republican House Member,118,ST-13,,,Legislative,press assistant,Personal,,0,,,
MEM-117-14,Congressman Denny Heck (WA-10),118,ST-10,-0.312,1.342,Legislative,,Personal,,0,,,
MEM-116-14,Committee on House Administration,118,ST-14,,,Legislative,Intern,Personal,CHA Dem,0,,,
MEM-115-14,NY Freshman Democrat,118,ST-01,,,Communications,Press Intern,Personal,,0,,,
MEM-114-14,Energetic NY Freshman Democrat,118,ST-14,,,Legislative,Intern,Personal,,0,,,
MEM-113-14,Congresswoman Katherine Clark,118,ST-05,-0.484,0.052,Legislative,Internship,Personal,,0,,,
MEM-112-14,Senior Texas Democrat,118,ST-14,,,Legislative,Senior Staff Intern,Personal,,0,,,
MEM-111-14,Congressman Reid Ribble,118,ST-14,0.603,0.137,Legislative,Intern,Personal,,0,,,
MEM-110-14,Congressman Jerry McNerney (CA-09),118,ST-09,-0.263,0.757,Legislative,Internship Position,Personal,,0,,,
MEM-105-14,Congresswoman Betty McCollum,118,ST-04,-0.419,0.061,Legislative,Intern,Personal,,0,,,
MEM-103-14,Committee on House Administration,118,ST-14,,,Legislative,Intern,Personal,null,0,,,
MEM-102-14,House Democratic Leadership Office,118,ST-02,,,Legislative,Intern,Personal,,0,,,
MEM-101-14,Congressman Steven Horsford (NV-4),118,ST-04,-0.322,0.257,Legislative,Internship Assistant,Personal,,0,,,
MEM-316-13,Congresswoman Maxine Waters (CA-43),118,ST-43,-0.656,1.286,Communications,Press and Social Media Intern,Personal,,0,,,
MEM-119-14,New Jersey Democrat,118,ST-14,,,Legislative,Transportation Legislative Assistant,Personal,Transportation and Infrastructure Committee,0,,,
MEM-118-14,Congressman Steven Horsford,118,ST-04,-0.322,0.257,Legislative,Staff Assistant,Personal,,0,,,
