Posting_Author,Job_Function,Title_Parsed,Office_Type,Committee_Affiliation,Spanish_Language,Salary_Min,Salary_Max,Years_Experience,DW-NOMINATE,LES,State,District,Year,Congress_Number,Posting_Text,Post_ID,Gender
Congressman Steven Horsford,Legislative Assistant,UNPAID Interns,Congressional Office,,0,,,,-0.3219999969005585,0.2571782469749451,NV,4.0,2014,113,mem10114 office congressman steven horsford nv4 seeks motivated organized reliable college students recent graduates wishing gain capitol hill experience fullparttime 10week unpaid internships duties include assisting legislative communications administrative staff daytoday operations including attending briefings answering phones conducting capitol tours drafting constituent response letters performing legislative research studentsrecent graduates ties nevadas 4th congressional district diverse background strongly encouraged apply though requirements qualification applications accepted rolling basis please send single pdf file containing resume cover letter brief writing sample nv04internshipsgmailcom 2,MEM-101-14,
,,Intern,,Congressional Black Caucus,0,,,,,,,,2014,113,mem37213 congressional black caucus accepting applications internship positions available spring 2014 unpaid internship provide valuable hands experience developing executing initiatives congressional caucus provide understanding caucuss role legislative process excellent opportunity college students recent graduates seeking capitol hill experience majors encouraged apply interested applicants email resume cover letter writing sample latricepowellmailhousegov spring 2014 internship subject please also include dates availability,MEM-372-13,
None,Intern,Intern,Congressional,Congressman Derek Kilmer's office,0,,,,,,,,2014,113,mem37113 dc office congressman derek kilmer hailing washingtons 6th district looking personable diligent parttime fulltime unpaid interns start winter session january spring opportunity learn innerworkings congressional office hill fast paced work environment internship allows access briefings interesting events related wide range important issues responsibilities include assisting constituent correspondence producing daily press clips leading tours capitol unique opportunity prime students may eventually interested working congressional office federal government apply please send resume cover letter outlining interest position nwcongressionalinternshipgmailcom expect response within week look forward hearing,MEM-371-13,
Latrice.Powell,Communications,Intern,Capitol Hill,Congressional Black Caucus,0,,,,,,,,2014,113,mem36913 congressional black caucus accepting applications communications intern positions available spring summer 2014 unpaid internship provide valuable hands experience developing executing 3 communications initiatives congressional caucus provide understanding caucuss role legislative process responsibilities include limited drafting press statements video editing online distribution social media management drafting communications materials members communications staff responding constituent inquiries qualified applicants professional courteous demeanor excellent communications skills ability multitask interest legislative process excellent opportunity college students recent graduates seeking capitol hill experience majors encouraged apply journalism communications political science majors highly encouraged interested applicants email resume cover letter latricepowellmailhousegov spring summer 2014 internship subject please also include dates availability,MEM-369-13,
Congressman Mario Diaz-Balart,"Legislative research, press support, managing tour requests, general administrative duties",,,,0,,,,0.2809999883174896,1.113879799842834,FL,26.0,2014,113,mem36813 dc office congressman mario diazbalart fl25 seeking full parttime unpaid interns begin january may 2014 also immediate openings available intern responsibilities include legislative research press support managing tour requests general administrative duties assistance additional projects needed ideal candidate self starter dependable possesses cheerful outgoing demeanor florida ties preferred required please send cover letter resume references alenamikhnomailhousegov spring internship subject line,MEM-368-13,
,Intern,Communications Intern,Congressional Office,House of Representatives,0,,,Recent Graduate/Student,,,,,2014,113,mem36713 office congressman ami bera dca seeks professional dependable enthusiastic student recent graduate unpaid communications internship working closely communications team variety tasks backgroundstudy communications journalism public relations similar field preferred duties include drafting posting web content social media drafting written materials constituent letters memos press releases etc compiling daily press clips answering office phones administrative tasks assigned please send resume beraresumemailhousegov subject line communications intern 2014,MEM-367-13,
Congressman Dave Loebsack,Intern,Interns are responsible for...,"Washington, D.C. office",,0,,,,,,,,2014,113,mem36513 congressman dave loebsack ia02d hiring spring interns washington dc office interns responsible answering phones sorting mail faxes giving tours capitol assisting constituent correspondence tasks may include attending briefings hearings letter writing assisting press staff intern candidates current recent college students regardless major apply please email cover letter 4 resume short writing sample letter recommendation loebsackinternshipmailhousegov phone calls dropins please,MEM-365-13,
,Staff Assistant,Staff Assistant,,Congress,0,,,,,,,,2014,113,mem10014 staff assistant seeking highly energetic motivated organized individual join team senior democratic member congress candidate strong interpersonal skills comfortable managing multiple tasks work well pressure staff assistant responsible preparing letters greetings condolence congratulations behalf member answering phones coordinating mail casework distribution making room reservations meetings light casework assignments include post office problems requests expedited passports assigned district director staff assistant also serves intern coordinator recruiting training scheduling assigning duties 2 ideal candidate bachelors degree significant experience interacting public excellent writing communication skills working knowledge district columbia candidate must resident district columbia willing move immediately dc hired closing date position january 15 2014 salary based skill experience level interested applicants send resume cover letter references two writing samples dc00nortonresumemailhouegov fax 202 2251129 absolutely phone calls accepted,MEM-100-14,
,Legislative Assistant,Legislative Assistant,,null,0,,,,,,,,2014,113,mem37813 moderate texas democrat seeks legislative assistant handle healthcare social security medicare education issues office fastpaced proactive group staffers place premium cooperation teamwork successful candidate easygoing selfstarter responsible quickly learning district priorities b preparing research analysis votes c tracking legislation providing guidance issues communications director legislative correspondents e duties assigned looking fun relaxed addition team driven take initiative also willingness keep learning job unfortunately entry level position please submit cover letter resume writing sample eg one page memo similar txresumemailhousegov calls dropins please,MEM-378-13,
Dem member,Press Secretary,Press Secretary,"DC office, Hill",Hill,0,,,,,,,,2014,113,mem37613 press secretary dem member seeks press secretary dc office hill experience plus required please submit resumes dcprseccvgmailcom,MEM-376-13,
